maven/mavencentral/org.springframework.boot/spring-boot-starter-security/2.1.5.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-tomcat/2.1.5.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-web/2.1.5.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter/2.1.5.RELEASE, Apache-2.0, approved, CQ18204
maven/mavencentral/org.springframework.boot/spring-boot/2.1.5.RELEASE, Apache-2.0, approved, CQ18192
maven/mavencentral/org.springframework.data/spring-data-commons/2.1.8.RELEASE, Apache-2.0, approved, CQ18213
maven/mavencentral/org.springframework.data/spring-data-jpa/2.1.8.RELEASE, Apache-2.0, approved, CQ18214
maven/mavencentral/org.springframework.integration/spring-integration-core/5.1.5.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.plugin/spring-plugin-core/1.2.0.RELEASE, Apache-2.0, approved, CQ12997
maven/mavencentral/org.springframework.plugin/spring-plugin-metadata/1.2.0.RELEASE, Apache-2.0, approved, CQ14818
maven/mavencentral/org.springframework.retry/spring-retry/1.2.4.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.security/spring-security-config/5.1.5.RELEASE, Apache-2.0, approved, CQ20672
maven/mavencentral/org.springframework.security/spring-security-core/5.1.5.RELEASE, Apache-2.0 AND ISC AND LicenseRef-Public-Domain, approved, CQ18352
maven/mavencentral/org.springframework.security/spring-security-web/5.1.5.RELEASE, Apache-2.0, approved, CQ18354
maven/mavencentral/org.springframework/spring-aop/5.1.7.RELEASE, Apache-2.0, approved, CQ18355
maven/mavencentral/org.springframework/spring-aspects/5.1.7.RELEASE, Apache-2.0, approved, CQ18356
maven/mavencentral/org.springframework/spring-beans/5.1.7.RELEASE, Apache-2.0, approved, CQ18357
maven/mavencentral/org.springframework/spring-context-support/5.1.7.RELEASE, Apache-2.0, approved, CQ18359
maven/mavencentral/org.springframework/spring-context/5.1.7.RELEASE, Apache-2.0, approved, CQ18358
maven/mavencentral/org.springframework/spring-core/5.1.7.RELEASE, Apache-2.0 AND BSD-3-Clause, approved, CQ18360
maven/mavencentral/org.springframework/spring-expression/5.1.7.RELEASE, , approved, CQ18361
maven/mavencentral/org.springframework/spring-jcl/5.1.7.RELEASE, Apache-2.0, approved, CQ18362
maven/mavencentral/org.springframework/spring-jdbc/5.1.7.RELEASE, Apache-2.0, approved, CQ18363
maven/mavencentral/org.springframework/spring-jms/5.1.7.RELEASE, Apache-2.0, restricted, clearlydefined
maven/mavencentral/org.springframework/spring-messaging/5.1.7.RELEASE, Apache-2.0, restricted, clearlydefined
maven/mavencentral/org.springframework/spring-orm/5.1.7.RELEASE, Apache-2.0, approved, CQ18365
maven/mavencentral/org.springframework/spring-tx/5.1.7.RELEASE, Apache-2.0, approved, CQ18366
maven/mavencentral/org.springframework/spring-web/5.1.7.RELEASE, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ18367
maven/mavencentral/org.springframework/spring-webmvc/5.1.7.RELEASE, Apache-2.0, approved, CQ18368
